"car_name","make","year","car_type","stock_class","stock_pi","drivetrain_stock","recommended_preset","primary_roles","upgrade_order","required_adjustable_parts","optional_parts","avoid","tune_sections","data_needed_for_exact_tune","risk_flags","ai_notes","confidence"
"1973 BMW 2002 Turbo","BMW","1973","Classic Sports Cars","C","424","RWD","weekly_allround_required","general_event_candidate","hardest step tire choice > tuneable diff > suspension/ARB if handling task > weight > power for speed task > gearing only if needed","diff;suspension if tune requested","paint/livery theme;transmission","community tune as first answer;reward car for same championship","tires;gearing;alignment;anti_roll_bars;springs;ride_height;damping;aero;brakes;differential","power; torque; weight; front_weight_percent; tire_compound; tire_widths; installed_adjustable_parts","needs_in_game_weight_for_exact_springs","Build to clear all tasks in one car; label compromises","derived_from_car_archetype_and_build_preset"
"1981 BMW M1","BMW","1981","Retro Supercars","B","510","RWD","road_high_grip","general_event_candidate","semi-slick/slick > aero if technical > race brakes > race suspension > diff > weight > power","race_springs;race_diff;race_brakes","adjustable aero;race transmission","stock tires;no aero on technical high-speed","tires;gearing;alignment;anti_roll_bars;springs;ride_height;damping;aero;brakes;differential","power; torque; weight; front_weight_percent; tire_compound; tire_widths; installed_adjustable_parts; spring_slider_ranges; ride_height_ranges","needs_in_game_weight_for_exact_springs","High class magnifies aero and braking mistakes","derived_from_car_archetype_and_build_preset"
"1988 BMW M3","BMW","1988","Retro Super Saloons","C","474","RWD","weekly_allround_required","general_event_candidate","hardest step tire choice > tuneable diff > suspension/ARB if handling task > weight > power for speed task > gearing only if needed","diff;suspension if tune requested","paint/livery theme;transmission","community tune as first answer;reward car for same championship","tires;gearing;alignment;anti_roll_bars;springs;ride_height;damping;aero;brakes;differential","power; torque; weight; front_weight_percent; tire_compound; tire_widths; installed_adjustable_parts","needs_in_game_weight_for_exact_springs","Build to clear all tasks in one car; label compromises","derived_from_car_archetype_and_build_preset"
"1988 BMW M5","BMW","1988","Retro Super Saloons","C","470","RWD","weekly_allround_required","general_event_candidate","hardest step tire choice > tuneable diff > suspension/ARB if handling task > weight > power for speed task > gearing only if needed","diff;suspension if tune requested","paint/livery theme;transmission","community tune as first answer;reward car for same championship","tires;gearing;alignment;anti_roll_bars;springs;ride_height;damping;aero;brakes;differential","power; torque; weight; front_weight_percent; tire_compound; tire_widths; installed_adjustable_parts","needs_in_game_weight_for_exact_springs","Build to clear all tasks in one car; label compromises","derived_from_car_archetype_and_build_preset"
"1995 BMW 850CSi","BMW","1995","Retro Sports Cars","C","493","RWD","weekly_allround_required","leaderboard_benchmark","hardest step tire choice > tuneable diff > suspension/ARB if handling task > weight > power for speed task > gearing only if needed","diff;suspension if tune requested","paint/livery theme;transmission","community tune as first answer;reward car for same championship","tires;gearing;alignment;anti_roll_bars;springs;ride_height;damping;aero;brakes;differential","power; torque; weight; front_weight_percent; tire_compound; tire_widths; installed_adjustable_parts","needs_in_game_weight_for_exact_springs;meta_signal_not_fun_default","Build to clear all tasks in one car; label compromises","derived_from_car_archetype_and_build_preset"
"1995 BMW M5","BMW","1995","Retro Super Saloons","B","516","RWD","weekly_allround_required","general_event_candidate","hardest step tire choice > tuneable diff > suspension/ARB if handling task > weight > power for speed task > gearing only if needed","diff;suspension if tune requested","paint/livery theme;transmission","community tune as first answer;reward car for same championship","tires;gearing;alignment;anti_roll_bars;springs;ride_height;damping;aero;brakes;differential","power; torque; weight; front_weight_percent; tire_compound; tire_widths; installed_adjustable_parts","needs_in_game_weight_for_exact_springs","Build to clear all tasks in one car; label compromises","derived_from_car_archetype_and_build_preset"
"1997 BMW M3","BMW","1997","Retro Super Saloons","B","549","RWD","weekly_allround_required","general_event_candidate","hardest step tire choice > tuneable diff > suspension/ARB if handling task > weight > power for speed task > gearing only if needed","diff;suspension if tune requested","paint/livery theme;transmission","community tune as first answer;reward car for same championship","tires;gearing;alignment;anti_roll_bars;springs;ride_height;damping;aero;brakes;differential","power; torque; weight; front_weight_percent; tire_compound; tire_widths; installed_adjustable_parts","needs_in_game_weight_for_exact_springs","Build to clear all tasks in one car; label compromises","derived_from_car_archetype_and_build_preset"
"2003 BMW M5","BMW","2003","Retro Super Saloons","B","580","RWD","weekly_allround_required","general_event_candidate","hardest step tire choice > tuneable diff > suspension/ARB if handling task > weight > power for speed task > gearing only if needed","diff;suspension if tune requested","paint/livery theme;transmission","community tune as first answer;reward car for same championship","tires;gearing;alignment;anti_roll_bars;springs;ride_height;damping;aero;brakes;differential","power; torque; weight; front_weight_percent; tire_compound; tire_widths; installed_adjustable_parts","needs_in_game_weight_for_exact_springs","Build to clear all tasks in one car; label compromises","derived_from_car_archetype_and_build_preset"
"2005 BMW M3","BMW","2005","Retro Super Saloons","B","554","RWD","weekly_allround_required","leaderboard_benchmark","hardest step tire choice > tuneable diff > suspension/ARB if handling task > weight > power for speed task > gearing only if needed","diff;suspension if tune requested","paint/livery theme;transmission","community tune as first answer;reward car for same championship","tires;gearing;alignment;anti_roll_bars;springs;ride_height;damping;aero;brakes;differential","power; torque; weight; front_weight_percent; tire_compound; tire_widths; installed_adjustable_parts","needs_in_game_weight_for_exact_springs;meta_signal_not_fun_default","Build to clear all tasks in one car; label compromises","derived_from_car_archetype_and_build_preset"
"2008 BMW M3","BMW","2008","Modern Super Saloons","A","608","RWD","weekly_allround_required","leaderboard_benchmark","hardest step tire choice > tuneable diff > suspension/ARB if handling task > weight > power for speed task > gearing only if needed","diff;suspension if tune requested","paint/livery theme;transmission","community tune as first answer;reward car for same championship","tires;gearing;alignment;anti_roll_bars;springs;ride_height;damping;aero;brakes;differential","power; torque; weight; front_weight_percent; tire_compound; tire_widths; installed_adjustable_parts","needs_in_game_weight_for_exact_springs;meta_signal_not_fun_default","Build to clear all tasks in one car; label compromises","derived_from_car_archetype_and_build_preset"
"2008 BMW Z4 M Coup̩","BMW","2008","Modern Sports Cars","B","579","RWD","weekly_allround_required","general_event_candidate","hardest step tire choice > tuneable diff > suspension/ARB if handling task > weight > power for speed task > gearing only if needed","diff;suspension if tune requested","paint/livery theme;transmission","community tune as first answer;reward car for same championship","tires;gearing;alignment;anti_roll_bars;springs;ride_height;damping;aero;brakes;differential","power; torque; weight; front_weight_percent; tire_compound; tire_widths; installed_adjustable_parts","needs_in_game_weight_for_exact_springs","Build to clear all tasks in one car; label compromises","derived_from_car_archetype_and_build_preset"
"2009 BMW M5","BMW","2009","Modern Super Saloons","B","595","RWD","weekly_allround_required","general_event_candidate","hardest step tire choice > tuneable diff > suspension/ARB if handling task > weight > power for speed task > gearing only if needed","diff;suspension if tune requested","paint/livery theme;transmission","community tune as first answer;reward car for same championship","tires;gearing;alignment;anti_roll_bars;springs;ride_height;damping;aero;brakes;differential","power; torque; weight; front_weight_percent; tire_compound; tire_widths; installed_adjustable_parts","needs_in_game_weight_for_exact_springs","Build to clear all tasks in one car; label compromises","derived_from_car_archetype_and_build_preset"
"2010 BMW M3 GTS","BMW","2010","Track Toys","A","678","RWD","road_high_grip","track_day_or_rivals","semi-slick/slick > aero if technical > race brakes > race suspension > diff > weight > power","race_springs;race_diff;race_brakes","adjustable aero;race transmission","stock tires;no aero on technical high-speed","tires;gearing;alignment;anti_roll_bars;springs;ride_height;damping;aero;brakes;differential","power; torque; weight; front_weight_percent; tire_compound; tire_widths; installed_adjustable_parts; spring_slider_ranges; ride_height_ranges","needs_in_game_weight_for_exact_springs","High class magnifies aero and braking mistakes","derived_from_car_archetype_and_build_preset"
"2011 BMW X5 M","BMW","2011","Sports Utility Heroes","B","546","AWD","weekly_allround_required","general_event_candidate","hardest step tire choice > tuneable diff > suspension/ARB if handling task > weight > power for speed task > gearing only if needed","diff;suspension if tune requested","paint/livery theme;transmission","community tune as first answer;reward car for same championship","tires;gearing;alignment;anti_roll_bars;springs;ride_height;damping;aero;brakes;differential","power; torque; weight; front_weight_percent; tire_compound; tire_widths; installed_adjustable_parts","needs_in_game_weight_for_exact_springs","Build to clear all tasks in one car; label compromises","derived_from_car_archetype_and_build_preset"
"2012 BMW M5","BMW","2012","Modern Super Saloons","A","652","RWD","weekly_allround_required","general_event_candidate","hardest step tire choice > tuneable diff > suspension/ARB if handling task > weight > power for speed task > gearing only if needed","diff;suspension if tune requested","paint/livery theme;transmission","community tune as first answer;reward car for same championship","tires;gearing;alignment;anti_roll_bars;springs;ride_height;damping;aero;brakes;differential","power; torque; weight; front_weight_percent; tire_compound; tire_widths; installed_adjustable_parts","needs_in_game_weight_for_exact_springs","Build to clear all tasks in one car; label compromises","derived_from_car_archetype_and_build_preset"
"2014 BMW M4 Coup̩","BMW","2014","Modern Super Saloons","A","679","RWD","weekly_allround_required","general_event_candidate","hardest step tire choice > tuneable diff > suspension/ARB if handling task > weight > power for speed task > gearing only if needed","diff;suspension if tune requested","paint/livery theme;transmission","community tune as first answer;reward car for same championship","tires;gearing;alignment;anti_roll_bars;springs;ride_height;damping;aero;brakes;differential","power; torque; weight; front_weight_percent; tire_compound; tire_widths; installed_adjustable_parts","needs_in_game_weight_for_exact_springs","Build to clear all tasks in one car; label compromises","derived_from_car_archetype_and_build_preset"
"2015 BMW i8","BMW","2015","Modern Sports Cars","A","665","AWD","weekly_allround_required","general_event_candidate","hardest step tire choice > tuneable diff > suspension/ARB if handling task > weight > power for speed task > gearing only if needed","diff;suspension if tune requested","paint/livery theme;transmission","community tune as first answer;reward car for same championship","tires;gearing;alignment;anti_roll_bars;springs;ride_height;damping;aero;brakes;differential","power; torque; weight; front_weight_percent; tire_compound; tire_widths; installed_adjustable_parts","needs_in_game_weight_for_exact_springs","Build to clear all tasks in one car; label compromises","derived_from_car_archetype_and_build_preset"
"2016 BMW M4 GTS","BMW","2016","Track Toys","S1","711","RWD","road_high_grip","track_day_or_rivals","semi-slick/slick > aero if technical > race brakes > race suspension > diff > weight > power","race_springs;race_diff;race_brakes","adjustable aero;race transmission","stock tires;no aero on technical high-speed","tires;gearing;alignment;anti_roll_bars;springs;ride_height;damping;aero;brakes;differential","power; torque; weight; front_weight_percent; tire_compound; tire_widths; installed_adjustable_parts; spring_slider_ranges; ride_height_ranges","needs_in_game_weight_for_exact_springs","High class magnifies aero and braking mistakes","derived_from_car_archetype_and_build_preset"
"2019 BMW Z4 Roadster","BMW","2019","Modern Sports Cars","A","634","RWD","weekly_allround_required","general_event_candidate","hardest step tire choice > tuneable diff > suspension/ARB if handling task > weight > power for speed task > gearing only if needed","diff;suspension if tune requested","paint/livery theme;transmission","community tune as first answer;reward car for same championship","tires;gearing;alignment;anti_roll_bars;springs;ride_height;damping;aero;brakes;differential","power; torque; weight; front_weight_percent; tire_compound; tire_widths; installed_adjustable_parts","needs_in_game_weight_for_exact_springs","Build to clear all tasks in one car; label compromises","derived_from_car_archetype_and_build_preset"
"2020 BMW M2 Competition Coup̩","BMW","2020","Modern Super Saloons","A","656","RWD","weekly_allround_required","general_event_candidate","hardest step tire choice > tuneable diff > suspension/ARB if handling task > weight > power for speed task > gearing only if needed","diff;suspension if tune requested","paint/livery theme;transmission","community tune as first answer;reward car for same championship","tires;gearing;alignment;anti_roll_bars;springs;ride_height;damping;aero;brakes;differential","power; torque; weight; front_weight_percent; tire_compound; tire_widths; installed_adjustable_parts","needs_in_game_weight_for_exact_springs;check_availability_currently","Build to clear all tasks in one car; label compromises","derived_from_car_archetype_and_build_preset"
"2020 BMW M8 Competition Coup̩","BMW","2020","GT Cars","A","684","","weekly_allround_required","general_event_candidate","hardest step tire choice > tuneable diff > suspension/ARB if handling task > weight > power for speed task > gearing only if needed","diff;suspension if tune requested","paint/livery theme;transmission","community tune as first answer;reward car for same championship","tires;gearing;alignment;anti_roll_bars;springs;ride_height;damping;aero;brakes;differential","power; torque; weight; front_weight_percent; tire_compound; tire_widths; installed_adjustable_parts","needs_in_game_weight_for_exact_springs;drivetrain_missing_from_tunelab","Build to clear all tasks in one car; label compromises","derived_from_car_archetype_and_build_preset"
"2021 BMW M4 Competition Coup̩","BMW","2021","Modern Super Saloons","A","666","RWD","weekly_allround_required","leaderboard_benchmark","hardest step tire choice > tuneable diff > suspension/ARB if handling task > weight > power for speed task > gearing only if needed","diff;suspension if tune requested","paint/livery theme;transmission","community tune as first answer;reward car for same championship","tires;gearing;alignment;anti_roll_bars;springs;ride_height;damping;aero;brakes;differential","power; torque; weight; front_weight_percent; tire_compound; tire_widths; installed_adjustable_parts","needs_in_game_weight_for_exact_springs;meta_signal_not_fun_default","Build to clear all tasks in one car; label compromises","derived_from_car_archetype_and_build_preset"
"2021 BMW M4 Competition Coup̩ Welcome Pack","BMW","2021","Modern Super Saloons","S1","800","RWD","weekly_allround_required","general_event_candidate","hardest step tire choice > tuneable diff > suspension/ARB if handling task > weight > power for speed task > gearing only if needed","diff;suspension if tune requested","paint/livery theme;transmission","community tune as first answer;reward car for same championship","tires;gearing;alignment;anti_roll_bars;springs;ride_height;damping;aero;brakes;differential","power; torque; weight; front_weight_percent; tire_compound; tire_widths; installed_adjustable_parts","needs_in_game_weight_for_exact_springs;check_dlc_or_addon_access","Build to clear all tasks in one car; label compromises","derived_from_car_archetype_and_build_preset"
"2022 BMW iX xDrive50","BMW","2022","Sports Utility Heroes","B","595","AWD","weekly_allround_required","general_event_candidate","hardest step tire choice > tuneable diff > suspension/ARB if handling task > weight > power for speed task > gearing only if needed","diff;suspension if tune requested","paint/livery theme;transmission","community tune as first answer;reward car for same championship","tires;gearing;alignment;anti_roll_bars;springs;ride_height;damping;aero;brakes;differential","power; torque; weight; front_weight_percent; tire_compound; tire_widths; installed_adjustable_parts","needs_in_game_weight_for_exact_springs","Build to clear all tasks in one car; label compromises","derived_from_car_archetype_and_build_preset"
"2022 BMW M5 CS","BMW","2022","Modern Super Saloons","S1","731","AWD","weekly_allround_required","general_event_candidate","hardest step tire choice > tuneable diff > suspension/ARB if handling task > weight > power for speed task > gearing only if needed","diff;suspension if tune requested","paint/livery theme;transmission","community tune as first answer;reward car for same championship","tires;gearing;alignment;anti_roll_bars;springs;ride_height;damping;aero;brakes;differential","power; torque; weight; front_weight_percent; tire_compound; tire_widths; installed_adjustable_parts","needs_in_game_weight_for_exact_springs","Build to clear all tasks in one car; label compromises","derived_from_car_archetype_and_build_preset"
"2023 BMW M2","BMW","2023","Modern Super Saloons","A","647","RWD","weekly_allround_required","general_event_candidate","hardest step tire choice > tuneable diff > suspension/ARB if handling task > weight > power for speed task > gearing only if needed","diff;suspension if tune requested","paint/livery theme;transmission","community tune as first answer;reward car for same championship","tires;gearing;alignment;anti_roll_bars;springs;ride_height;damping;aero;brakes;differential","power; torque; weight; front_weight_percent; tire_compound; tire_widths; installed_adjustable_parts","needs_in_game_weight_for_exact_springs","Build to clear all tasks in one car; label compromises","derived_from_car_archetype_and_build_preset"
"2023 BMW M2 Forza Edition","BMW","2023","Track Toys","A","700","RWD","road_high_grip","track_day_or_rivals","semi-slick/slick > aero if technical > race brakes > race suspension > diff > weight > power","race_springs;race_diff;race_brakes","adjustable aero;race transmission","stock tires;no aero on technical high-speed","tires;gearing;alignment;anti_roll_bars;springs;ride_height;damping;aero;brakes;differential","power; torque; weight; front_weight_percent; tire_compound; tire_widths; installed_adjustable_parts; spring_slider_ranges; ride_height_ranges","needs_in_game_weight_for_exact_springs;check_availability_currently","High class magnifies aero and braking mistakes","derived_from_car_archetype_and_build_preset"
"2024 BMW X6 M Competition","BMW","2024","Sports Utility Heroes","A","672","AWD","weekly_allround_required","general_event_candidate","hardest step tire choice > tuneable diff > suspension/ARB if handling task > weight > power for speed task > gearing only if needed","diff;suspension if tune requested","paint/livery theme;transmission","community tune as first answer;reward car for same championship","tires;gearing;alignment;anti_roll_bars;springs;ride_height;damping;aero;brakes;differential","power; torque; weight; front_weight_percent; tire_compound; tire_widths; installed_adjustable_parts","needs_in_game_weight_for_exact_springs","Build to clear all tasks in one car; label compromises","derived_from_car_archetype_and_build_preset"
"1987 Buick Regal GNX","Buick","1987","Retro Muscle","C","454","RWD","road_a_balanced","muscle_power_build","street/semi-slick tire as needed > weight reduction > ARB > race springs/dampers > race diff > brakes > moderate power","ARB;race_springs;race_diff","race brakes;semi-slick;adjustable aero on technical routes","power before chassis;drag tire","tires;gearing;alignment;anti_roll_bars;springs;ride_height;damping;aero;brakes;differential","power; torque; weight; front_weight_percent; tire_compound; tire_widths; installed_adjustable_parts","needs_in_game_weight_for_exact_springs","A-class sweet spot is chassis plus controlled power","derived_from_car_archetype_and_build_preset"
"2013 Cadillac XTS Limousine","Cadillac","2013","Modern Super Saloons","D","381","RWD","weekly_allround_required","general_event_candidate","hardest step tire choice > tuneable diff > suspension/ARB if handling task > weight > power for speed task > gearing only if needed","diff;suspension if tune requested","paint/livery theme;transmission","community tune as first answer;reward car for same championship","tires;gearing;alignment;anti_roll_bars;springs;ride_height;damping;aero;brakes;differential","power; torque; weight; front_weight_percent; tire_compound; tire_widths; installed_adjustable_parts","needs_in_game_weight_for_exact_springs","Build to clear all tasks in one car; label compromises","derived_from_car_archetype_and_build_preset"
"2016 Cadillac ATS-V","Cadillac","2016","Modern Muscle","A","601","RWD","road_a_balanced","muscle_power_build","street/semi-slick tire as needed > weight reduction > ARB > race springs/dampers > race diff > brakes > moderate power","ARB;race_springs;race_diff","race brakes;semi-slick;adjustable aero on technical routes","power before chassis;drag tire","tires;gearing;alignment;anti_roll_bars;springs;ride_height;damping;aero;brakes;differential","power; torque; weight; front_weight_percent; tire_compound; tire_widths; installed_adjustable_parts","needs_in_game_weight_for_exact_springs","A-class sweet spot is chassis plus controlled power","derived_from_car_archetype_and_build_preset"
"2016 Cadillac CTS-V Sedan","Cadillac","2016","Modern Muscle","A","648","RWD","road_a_balanced","muscle_power_build","street/semi-slick tire as needed > weight reduction > ARB > race springs/dampers > race diff > brakes > moderate power","ARB;race_springs;race_diff","race brakes;semi-slick;adjustable aero on technical routes","power before chassis;drag tire","tires;gearing;alignment;anti_roll_bars;springs;ride_height;damping;aero;brakes;differential","power; torque; weight; front_weight_percent; tire_compound; tire_widths; installed_adjustable_parts","needs_in_game_weight_for_exact_springs","A-class sweet spot is chassis plus controlled power","derived_from_car_archetype_and_build_preset"
"2022 Cadillac CT4-V Blackwing","Cadillac","2022","Modern Muscle","A","650","RWD","road_a_balanced","muscle_power_build","street/semi-slick tire as needed > weight reduction > ARB > race springs/dampers > race diff > brakes > moderate power","ARB;race_springs;race_diff","race brakes;semi-slick;adjustable aero on technical routes","power before chassis;drag tire","tires;gearing;alignment;anti_roll_bars;springs;ride_height;damping;aero;brakes;differential","power; torque; weight; front_weight_percent; tire_compound; tire_widths; installed_adjustable_parts","needs_in_game_weight_for_exact_springs","A-class sweet spot is chassis plus controlled power","derived_from_car_archetype_and_build_preset"
"2022 Cadillac CT5-V Blackwing","Cadillac","2022","Modern Muscle","S1","701","RWD","road_a_balanced","muscle_power_build","street/semi-slick tire as needed > weight reduction > ARB > race springs/dampers > race diff > brakes > moderate power","ARB;race_springs;race_diff","race brakes;semi-slick;adjustable aero on technical routes","power before chassis;drag tire","tires;gearing;alignment;anti_roll_bars;springs;ride_height;damping;aero;brakes;differential","power; torque; weight; front_weight_percent; tire_compound; tire_widths; installed_adjustable_parts","needs_in_game_weight_for_exact_springs","A-class sweet spot is chassis plus controlled power","derived_from_car_archetype_and_build_preset"
"2018 Can-Am Maverick X RS Turbo R","Can-Am","2018","UTV's","B","568","AWD","cross_country_a_s1","cross_country_or_rough_route","off-road race tire > raised suspension > AWD > soft bump > power > stability gearing","offroad_suspension;race_diff","wide tires;roll-cage look/livery","low ride height;road cars unless route mild","tires;gearing;alignment;anti_roll_bars;springs;ride_height;damping;aero;brakes;differential","power; torque; weight; front_weight_percent; tire_compound; tire_widths; installed_adjustable_parts; spring_slider_ranges; ride_height_ranges","needs_in_game_weight_for_exact_springs","Landings and bumps decide the event","derived_from_car_archetype_and_build_preset"
"2019 Casey Currie Motorsports #4402 Ultra 4 'Trophy Jeep'","Casey Currie Motorsports","2019","Unlimited Offroad","A","641","AWD","cross_country_a_s1","cross_country_or_rough_route","off-road race tire > raised suspension > AWD > soft bump > power > stability gearing","offroad_suspension;race_diff","wide tires;roll-cage look/livery","low ride height;road cars unless route mild","tires;gearing;alignment;anti_roll_bars;springs;ride_height;damping;aero;brakes;differential","power; torque; weight; front_weight_percent; tire_compound; tire_widths; installed_adjustable_parts; spring_slider_ranges; ride_height_ranges","needs_in_game_weight_for_exact_springs;check_availability_currently","Landings and bumps decide the event","derived_from_car_archetype_and_build_preset"
"1953 Chevrolet Corvette","Chevrolet","1953","Classic Sports Cars","D","270","RWD","weekly_allround_required","general_event_candidate","hardest step tire choice > tuneable diff > suspension/ARB if handling task > weight > power for speed task > gearing only if needed","diff;suspension if tune requested","paint/livery theme;transmission","community tune as first answer;reward car for same championship","tires;gearing;alignment;anti_roll_bars;springs;ride_height;damping;aero;brakes;differential","power; torque; weight; front_weight_percent; tire_compound; tire_widths; installed_adjustable_parts","needs_in_game_weight_for_exact_springs","Build to clear all tasks in one car; label compromises","derived_from_car_archetype_and_build_preset"
"1955 Chevrolet 150 Utility Sedan","Chevrolet","1955","Rods and Customs","D","221","RWD","weekly_allround_required","leaderboard_benchmark","hardest step tire choice > tuneable diff > suspension/ARB if handling task > weight > power for speed task > gearing only if needed","diff;suspension if tune requested","paint/livery theme;transmission","community tune as first answer;reward car for same championship","tires;gearing;alignment;anti_roll_bars;springs;ride_height;damping;aero;brakes;differential","power; torque; weight; front_weight_percent; tire_compound; tire_widths; installed_adjustable_parts","needs_in_game_weight_for_exact_springs;meta_signal_not_fun_default","Build to clear all tasks in one car; label compromises","derived_from_car_archetype_and_build_preset"
"1957 Chevrolet Bel Air","Chevrolet","1957","Rods and Customs","D","320","RWD","weekly_allround_required","general_event_candidate","hardest step tire choice > tuneable diff > suspension/ARB if handling task > weight > power for speed task > gearing only if needed","diff;suspension if tune requested","paint/livery theme;transmission","community tune as first answer;reward car for same championship","tires;gearing;alignment;anti_roll_bars;springs;ride_height;damping;aero;brakes;differential","power; torque; weight; front_weight_percent; tire_compound; tire_widths; installed_adjustable_parts","needs_in_game_weight_for_exact_springs","Build to clear all tasks in one car; label compromises","derived_from_car_archetype_and_build_preset"
"1960 Chevrolet Corvette","Chevrolet","1960","Classic Sports Cars","C","428","RWD","weekly_allround_required","general_event_candidate","hardest step tire choice > tuneable diff > suspension/ARB if handling task > weight > power for speed task > gearing only if needed","diff;suspension if tune requested","paint/livery theme;transmission","community tune as first answer;reward car for same championship","tires;gearing;alignment;anti_roll_bars;springs;ride_height;damping;aero;brakes;differential","power; torque; weight; front_weight_percent; tire_compound; tire_widths; installed_adjustable_parts","needs_in_game_weight_for_exact_springs;check_availability_currently","Build to clear all tasks in one car; label compromises","derived_from_car_archetype_and_build_preset"
"1964 Chevrolet Impala Super Sport 409","Chevrolet","1964","Rods and Customs","C","427","RWD","weekly_allround_required","general_event_candidate","hardest step tire choice > tuneable diff > suspension/ARB if handling task > weight > power for speed task > gearing only if needed","diff;suspension if tune requested","paint/livery theme;transmission","community tune as first answer;reward car for same championship","tires;gearing;alignment;anti_roll_bars;springs;ride_height;damping;aero;brakes;differential","power; torque; weight; front_weight_percent; tire_compound; tire_widths; installed_adjustable_parts","needs_in_game_weight_for_exact_springs","Build to clear all tasks in one car; label compromises","derived_from_car_archetype_and_build_preset"
"1967 Chevrolet Corvette Stingray 427","Chevrolet","1967","Classic Muscle","B","510","RWD","road_a_balanced","muscle_power_build","street/semi-slick tire as needed > weight reduction > ARB > race springs/dampers > race diff > brakes > moderate power","ARB;race_springs;race_diff","race brakes;semi-slick;adjustable aero on technical routes","power before chassis;drag tire","tires;gearing;alignment;anti_roll_bars;springs;ride_height;damping;aero;brakes;differential","power; torque; weight; front_weight_percent; tire_compound; tire_widths; installed_adjustable_parts","needs_in_game_weight_for_exact_springs;check_availability_currently","A-class sweet spot is chassis plus controlled power","derived_from_car_archetype_and_build_preset"
"1969 Chevrolet Camaro Super Sport Coupe","Chevrolet","1969","Classic Muscle","C","471","RWD","road_a_balanced","leaderboard_benchmark;muscle_power_build","street/semi-slick tire as needed > weight reduction > ARB > race springs/dampers > race diff > brakes > moderate power","ARB;race_springs;race_diff","race brakes;semi-slick;adjustable aero on technical routes","power before chassis;drag tire","tires;gearing;alignment;anti_roll_bars;springs;ride_height;damping;aero;brakes;differential","power; torque; weight; front_weight_percent; tire_compound; tire_widths; installed_adjustable_parts","needs_in_game_weight_for_exact_springs;meta_signal_not_fun_default","A-class sweet spot is chassis plus controlled power","derived_from_car_archetype_and_build_preset"
"1969 Chevrolet Nova Super Sport 396","Chevrolet","1969","Classic Muscle","C","431","RWD","road_a_balanced","muscle_power_build","street/semi-slick tire as needed > weight reduction > ARB > race springs/dampers > race diff > brakes > moderate power","ARB;race_springs;race_diff","race brakes;semi-slick;adjustable aero on technical routes","power before chassis;drag tire","tires;gearing;alignment;anti_roll_bars;springs;ride_height;damping;aero;brakes;differential","power; torque; weight; front_weight_percent; tire_compound; tire_widths; installed_adjustable_parts","needs_in_game_weight_for_exact_springs","A-class sweet spot is chassis plus controlled power","derived_from_car_archetype_and_build_preset"
"1970 Chevrolet Camaro Z28","Chevrolet","1970","Classic Muscle","C","430","RWD","road_a_balanced","leaderboard_benchmark;muscle_power_build","street/semi-slick tire as needed > weight reduction > ARB > race springs/dampers > race diff > brakes > moderate power","ARB;race_springs;race_diff","race brakes;semi-slick;adjustable aero on technical routes","power before chassis;drag tire","tires;gearing;alignment;anti_roll_bars;springs;ride_height;damping;aero;brakes;differential","power; torque; weight; front_weight_percent; tire_compound; tire_widths; installed_adjustable_parts","needs_in_game_weight_for_exact_springs;meta_signal_not_fun_default","A-class sweet spot is chassis plus controlled power","derived_from_car_archetype_and_build_preset"
"1970 Chevrolet Chevelle Super Sport 454","Chevrolet","1970","Classic Muscle","C","424","RWD","road_a_balanced","muscle_power_build","street/semi-slick tire as needed > weight reduction > ARB > race springs/dampers > race diff > brakes > moderate power","ARB;race_springs;race_diff","race brakes;semi-slick;adjustable aero on technical routes","power before chassis;drag tire","tires;gearing;alignment;anti_roll_bars;springs;ride_height;damping;aero;brakes;differential","power; torque; weight; front_weight_percent; tire_compound; tire_widths; installed_adjustable_parts","needs_in_game_weight_for_exact_springs","A-class sweet spot is chassis plus controlled power","derived_from_car_archetype_and_build_preset"
"1970 Chevrolet Corvette ZR-1","Chevrolet","1970","Classic Muscle","C","497","RWD","road_a_balanced","muscle_power_build","street/semi-slick tire as needed > weight reduction > ARB > race springs/dampers > race diff > brakes > moderate power","ARB;race_springs;race_diff","race brakes;semi-slick;adjustable aero on technical routes","power before chassis;drag tire","tires;gearing;alignment;anti_roll_bars;springs;ride_height;damping;aero;brakes;differential","power; torque; weight; front_weight_percent; tire_compound; tire_widths; installed_adjustable_parts","needs_in_game_weight_for_exact_springs","A-class sweet spot is chassis plus controlled power","derived_from_car_archetype_and_build_preset"
"1970 Chevrolet El Camino Super Sport 454","Chevrolet","1970","Utility Heroes","C","430","RWD","weekly_allround_required","general_event_candidate","hardest step tire choice > tuneable diff > suspension/ARB if handling task > weight > power for speed task > gearing only if needed","diff;suspension if tune requested","paint/livery theme;transmission","community tune as first answer;reward car for same championship","tires;gearing;alignment;anti_roll_bars;springs;ride_height;damping;aero;brakes;differential","power; torque; weight; front_weight_percent; tire_compound; tire_widths; installed_adjustable_parts","needs_in_game_weight_for_exact_springs","Build to clear all tasks in one car; label compromises","derived_from_car_archetype_and_build_preset"
